Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Europe & Central Asia,ECS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4058E+11,2.55325E+11,2.49522E+11,2.62337E+11,2.66147E+11,2.63853E+11,2.66172E+11,2.8365E+11,3.29908E+11,3.85222E+11,4.00072E+11,4.32001E+11,4.96494E+11,5.39803E+11,4.6947E+11,4.67164E+11,5.32293E+11,5.21331E+11,5.6988E+11,5.90342E+11,5.23262E+11,
Ecuador,ECU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000000,330000000,335000000,330000000,377000000,451000000,438000000,449000000,408000000,464000000,488000000,492000000,626000000,745000000,674000000,786000000,849000000,1039000000,1251000000,1487000000,1557000000,
"Egypt, Arab Rep.",EGY,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2954000000,3583000000,4046000000,2942000000,4361000000,4657000000,4119000000,4133000000,4704000000,6328000000,7206000000,8133000000,10327000000,12104000000,11757000000,13633000000,9333000000,10823000000,6747000000,7979000000,6897000000,
Euro area,EMU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64615E+11,1.70217E+11,1.6256E+11,1.73105E+11,1.85808E+11,1.8217E+11,1.83184E+11,1.94386E+11,2.2788E+11,2.63185E+11,2.64158E+11,2.82702E+11,3.20617E+11,3.43886E+11,3.01977E+11,2.95132E+11,3.3505E+11,3.21043E+11,3.50963E+11,3.61154E+11,3.1246E+11,
Eritrea,ERI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000000,69000000,90000000,34000000,28000000,36000000,74000000,73000000,74000000,73000000,66000000,60000000,61000000,46000000,26000000,,,,,,,
Spain,ESP,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27369000000,29751000000,28649000000,31592000000,33784000000,32656000000,33829000000,35468000000,43863000000,49996000000,49565000000,53160000000,59910000000,64422000000,55748000000,54305000000,62447000000,57877000000,62584000000,65100000000,56426000000,
Estonia,EST,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452000000,565000000,597000000,668000000,702000000,657000000,661000000,737000000,883000000,1111000000,1229000000,1361000000,1416000000,1643000000,1090000000,1065000000,1256000000,1286000000,2022000000,2231000000,1818000000,
Ethiopia,ETH,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177000000,170000000,157000000,152000000,176000000,205000000,218000000,261000000,336000000,458000000,533000000,639000000,790000000,1184000000,1119000000,1434000000,1998000000,1980000000,,,,
European Union,EUU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15718E+11,2.27009E+11,2.20364E+11,2.33133E+11,2.42614E+11,2.38183E+11,2.36084E+11,2.50532E+11,2.92443E+11,3.39476E+11,3.46469E+11,3.75404E+11,4.28104E+11,4.56931E+11,3.94962E+11,3.90085E+11,4.40095E+11,4.25354E+11,4.6443E+11,4.84399E+11,4.3095E+11,
Fragile and conflict affected situations,FCS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3501577001,3530290695,3633659667,3995903151,3490161282,3437140849,3286713359,7171363220,10056158987,10550243288,10732666875,10677319665,13122099518,14934536420,16911971369,21540069096,15978385939,17782641462,19071333239,,,
Finland,FIN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383000000,2408000000,2358000000,2371000000,2236000000,2035000000,2065000000,2235000000,2676000000,2975000000,3069000000,3515000000,4287000000,4873000000,4104000000,4510000000,5591000000,5415000000,4048000000,3679000000,2560000000,
Fiji,FJI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369000000,374000000,386000000,309000000,365000000,291000000,316000000,384000000,496000000,588000000,722000000,684000000,722000000,952000000,688000000,825000000,955000000,989000000,966000000,1034000000,1037000000,
France,FRA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31295000000,32088000000,27402000000,29490000000,37770000000,38534000000,38385000000,40537000000,45990000000,52108000000,52139000000,54587000000,63902000000,68001000000,58858000000,56187000000,66087000000,64001000000,66049000000,66803000000,54003000000,
Faroe Islands,FRO,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15800000,13200000,13900000,17000000,14700000,16800000,16700000,19000000,21000000,23000000,25000000,27000000,22000000,24000000,22000000,22000000,24000000,25000000,,
Gabon,GAB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94000000,91000000,103000000,110000000,143000000,99000000,46000000,77000000,84000000,74000000,13000000,,,,,,,,,,,
United Kingdom,GBR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27577000000,29181000000,30483000000,31658000000,30807000000,29978000000,26137000000,27819000000,30736000000,37166000000,39684000000,44284000000,48618000000,46283000000,37272000000,40138000000,44741000000,47070000000,53052000000,58935000000,60744000000,
