COUNTRY,Country,VAR,Variable,CUR,Currency,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,1889,,
AUT,Austria,EXPORT_TRANSPORT,International passenger transport receipts,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,1769,,
AUT,Austria,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,9457,,
AUT,Austria,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,9143,,
AUT,Austria,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,9291,,
AUT,Austria,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,9232,,
AUT,Austria,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,9664,,
AUT,Austria,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,9621,,
AUT,Austria,IMPORT_TOTAL,Total international expenditure,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,10020,,
AUT,Austria,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,7721,,
AUT,Austria,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,7744,,
AUT,Austria,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,7717,,
AUT,Austria,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,7531,,
AUT,Austria,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,7825,,
AUT,Austria,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2013,2013,EUR,Euro,6,Millions,,,7738,,
AUT,Austria,IMPORT_TRAVEL,International travel expenditure,NAT,National currency,2014,2014,EUR,Euro,6,Millions,,,8149,,
AUT,Austria,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2008,2008,EUR,Euro,6,Millions,,,1736,,
AUT,Austria,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2009,2009,EUR,Euro,6,Millions,,,1399,,
AUT,Austria,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2010,2010,EUR,Euro,6,Millions,,,1574,,
AUT,Austria,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2011,2011,EUR,Euro,6,Millions,,,1701,,
AUT,Austria,IMPORT_TRANSPORT,International passenger transport expenditure,NAT,National currency,2012,2012,EUR,Euro,6,Millions,,,1839,,
