COUNTRY,Country,VARIABLE,Variable,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FIN,Finland,GBR,United Kingdom,2011,2011,NBR,Number,0,Units,,,278000,,
FIN,Finland,GBR,United Kingdom,2012,2012,NBR,Number,0,Units,,,273000,,
FIN,Finland,GBR,United Kingdom,2014,2014,NBR,Number,0,Units,,,204100,,
FIN,Finland,RUS,Russian Federation,2008,2008,NBR,Number,0,Units,,,2331000,,
FIN,Finland,RUS,Russian Federation,2009,2009,NBR,Number,0,Units,,,2192000,,
FIN,Finland,RUS,Russian Federation,2010,2010,NBR,Number,0,Units,,,2561000,,
FIN,Finland,RUS,Russian Federation,2011,2011,NBR,Number,0,Units,,,3261000,,
FIN,Finland,RUS,Russian Federation,2012,2012,NBR,Number,0,Units,,,3578000,,
FIN,Finland,RUS,Russian Federation,2014,2014,NBR,Number,0,Units,,,1242800,,
FIN,Finland,SWE,Sweden,2008,2008,NBR,Number,0,Units,,,765000,,
FIN,Finland,SWE,Sweden,2009,2009,NBR,Number,0,Units,,,753000,,
FIN,Finland,SWE,Sweden,2010,2010,NBR,Number,0,Units,,,712000,,
FIN,Finland,SWE,Sweden,2011,2011,NBR,Number,0,Units,,,681000,,
FIN,Finland,SWE,Sweden,2012,2012,NBR,Number,0,Units,,,702000,,
FIN,Finland,SWE,Sweden,2014,2014,NBR,Number,0,Units,,,363300,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,193571000,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,192369000,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,189825709,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,196594694,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,197522274,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,204409807,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,205836536,,
FRA,France,BEL,Belgium,2008,2008,NBR,Number,0,Units,,,8635517,,
FRA,France,BEL,Belgium,2009,2009,NBR,Number,0,Units,,,10165082,,
FRA,France,BEL,Belgium,2010,2010,NBR,Number,0,Units,,,9934912,,
FRA,France,BEL,Belgium,2011,2011,NBR,Number,0,Units,,,10086391,,
FRA,France,BEL,Belgium,2012,2012,NBR,Number,0,Units,,,10364897,,
FRA,France,BEL,Belgium,2013,2013,NBR,Number,0,Units,,,9319831,,
FRA,France,BEL,Belgium,2014,2014,NBR,Number,0,Units,,,9297136,,
FRA,France,DEU,Germany,2008,2008,NBR,Number,0,Units,,,11645125,,
FRA,France,DEU,Germany,2009,2009,NBR,Number,0,Units,,,10691727,,
FRA,France,DEU,Germany,2010,2010,NBR,Number,0,Units,,,11719708,,
FRA,France,DEU,Germany,2011,2011,NBR,Number,0,Units,,,11952828,,
FRA,France,DEU,Germany,2012,2012,NBR,Number,0,Units,,,12572410,,
FRA,France,DEU,Germany,2013,2013,NBR,Number,0,Units,,,13392500,,
FRA,France,DEU,Germany,2014,2014,NBR,Number,0,Units,,,12683581,,
FRA,France,GBR,United Kingdom,2008,2008,NBR,Number,0,Units,,,13560374,,
FRA,France,GBR,United Kingdom,2009,2009,NBR,Number,0,Units,,,12194551,,
FRA,France,GBR,United Kingdom,2010,2010,NBR,Number,0,Units,,,12175194,,
FRA,France,GBR,United Kingdom,2011,2011,NBR,Number,0,Units,,,12332096,,
FRA,France,GBR,United Kingdom,2012,2012,NBR,Number,0,Units,,,12143039,,
FRA,France,GBR,United Kingdom,2013,2013,NBR,Number,0,Units,,,12548670,,
FRA,France,GBR,United Kingdom,2014,2014,NBR,Number,0,Units,,,11808358,,
FRA,France,ITA,Italy,2008,2008,NBR,Number,0,Units,,,8233413,,
FRA,France,ITA,Italy,2009,2009,NBR,Number,0,Units,,,7248278,,
FRA,France,ITA,Italy,2010,2010,NBR,Number,0,Units,,,6582950,,
FRA,France,ITA,Italy,2011,2011,NBR,Number,0,Units,,,7407965,,
FRA,France,ITA,Italy,2012,2012,NBR,Number,0,Units,,,7393683,,
FRA,France,ITA,Italy,2013,2013,NBR,Number,0,Units,,,7170531,,
FRA,France,ITA,Italy,2014,2014,NBR,Number,0,Units,,,7504057,,
FRA,France,NLD,Netherlands,2008,2008,NBR,Number,0,Units,,,6244234,,
FRA,France,NLD,Netherlands,2009,2009,NBR,Number,0,Units,,,7223990,,
FRA,France,NLD,Netherlands,2010,2010,NBR,Number,0,Units,,,6943988,,
FRA,France,NLD,Netherlands,2011,2011,NBR,Number,0,Units,,,6447039,,
FRA,France,NLD,Netherlands,2012,2012,NBR,Number,0,Units,,,6300937,,
FRA,France,NLD,Netherlands,2013,2013,NBR,Number,0,Units,,,6496052,,
FRA,France,NLD,Netherlands,2014,2014,NBR,Number,0,Units,,,5547694,,
DEU,Germany,CHE,Switzerland,2008,2008,NBR,Number,0,Units,,,1800000,,
DEU,Germany,CHE,Switzerland,2009,2009,NBR,Number,0,Units,,,1900000,,
DEU,Germany,CHE,Switzerland,2010,2010,NBR,Number,0,Units,,,2000000,,
DEU,Germany,CHE,Switzerland,2011,2011,NBR,Number,0,Units,,,2300000,,
DEU,Germany,CHE,Switzerland,2012,2012,NBR,Number,0,Units,,,2500000,B,Break
DEU,Germany,CHE,Switzerland,2013,2013,NBR,Number,0,Units,,,2594000,,
DEU,Germany,CHE,Switzerland,2014,2014,NBR,Number,0,Units,,,2778000,,
DEU,Germany,GBR,United Kingdom,2008,2008,NBR,Number,0,Units,,,2000000,,
DEU,Germany,GBR,United Kingdom,2009,2009,NBR,Number,0,Units,,,1900000,,
DEU,Germany,GBR,United Kingdom,2010,2010,NBR,Number,0,Units,,,2000000,,
DEU,Germany,GBR,United Kingdom,2011,2011,NBR,Number,0,Units,,,2100000,,
DEU,Germany,GBR,United Kingdom,2012,2012,NBR,Number,0,Units,,,2200000,B,Break
DEU,Germany,GBR,United Kingdom,2013,2013,NBR,Number,0,Units,,,2294000,,
DEU,Germany,GBR,United Kingdom,2014,2014,NBR,Number,0,Units,,,2415000,,
DEU,Germany,ITA,Italy,2008,2008,NBR,Number,0,Units,,,1400000,,
DEU,Germany,ITA,Italy,2009,2009,NBR,Number,0,Units,,,1400000,,
